,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
159,CA,91020,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
161,CA,91024,,,,,,,1.0,,,,,29.0,,,,,,,,,,,30.0
162,CA,91030,,,,,,,,,,2.0,7.0,19.0,,,,,,,,,,,28.0
163,CA,91040,4.0,,,,1.0,,1.0,,1.0,3.0,3.0,35.0,9.0,,,,,,,,,,57.0
164,CA,91042,3.0,1.0,,,,,,,,,2.0,25.0,,,,,,,,,,,31.0
166,CA,91103,,,,,,,,,,,,23.0,,,,,,,,,,,23.0
167,CA,91104,,,,,,,,,,,,16.0,,,,,,,,,,,16.0
168,CA,91105,,,,,,,,,,,4.0,47.0,,,,,,,,,,,51.0
169,CA,91106,,,,,,,,,,,,13.0,,,,,,,,,,,13.0
170,CA,91107,,,,,,,,,,,,41.0,,,,,,,,,,,41.0
171,CA,91108,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
172,CA,91201,,,,,,,,,,,,24.0,,,,,,,,,,,24.0
173,CA,91202,,,,,,,1.0,,,,,10.0,,,,,,,,,,,11.0
177,CA,91206,3.0,,,,1.0,,,,,,1.0,21.0,,,,,,,,,,,26.0
178,CA,91207,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
179,CA,91208,2.0,2.0,,,,,1.0,1.0,,1.0,,19.0,,,,,,,,,,,26.0
180,CA,91214,,,,,,,,1.0,,1.0,1.0,54.0,,,,,,,,,,,57.0
181,CA,91301,6.0,,,,,,,3.0,,2.0,1.0,131.0,7.0,8.0,4.0,1.0,,1.0,,,,,164.0
182,CA,91302,36.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,,1.0,143.0,,3.0,,,,,,,,,203.0
183,CA,91303,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
184,CA,91304,1.0,,,1.0,,,,,,,1.0,41.0,,,,,,,,,,,44.0
185,CA,91306,,,,,,,,,,,,19.0,,,,,,,,,,,19.0
186,CA,91307,,,,,,1.0,,,,,,56.0,1.0,,,,,,,,,,58.0
187,CA,91311,3.0,1.0,,,1.0,,,1.0,2.0,,,41.0,2.0,,,,,,,,,,51.0
188,CA,91316,1.0,,,1.0,,,,,,,3.0,114.0,1.0,,,,,,,,,,120.0
189,CA,91320,18.0,8.0,4.0,4.0,7.0,2.0,1.0,1.0,3.0,2.0,3.0,86.0,10.0,1.0,,,,,,,,,150.0
190,CA,91321,11.0,,3.0,2.0,3.0,2.0,5.0,6.0,1.0,5.0,5.0,84.0,45.0,22.0,1.0,,,,,,,,195.0
191,CA,91324,1.0,,,,,,,,1.0,,,23.0,,,,,,,,,,,25.0
192,CA,91325,,,,,,,,,,,,28.0,,,,,,,,,,,28.0
193,CA,91326,,1.0,,,,,1.0,,1.0,,,35.0,,,,,,,,,,,38.0
195,CA,91335,,,,,,,,,1.0,,,21.0,,1.0,,,,,,,,,23.0
197,CA,91342,,,1.0,,,,2.0,2.0,,1.0,2.0,35.0,16.0,4.0,,,,,,,,,63.0
198,CA,91343,,,,,,,,,,,,22.0,,,,,,,,,,,22.0
199,CA,91344,1.0,,,,,,,,,,4.0,38.0,,,,,,,,,,,43.0
200,CA,91345,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
201,CA,91350,1.0,,,,,,,,1.0,,,2.0,3.0,,1.0,,,,,,,,8.0
202,CA,91351,3.0,1.0,,,1.0,,,,1.0,,,9.0,18.0,3.0,2.0,1.0,,,,,,,39.0
203,CA,91352,9.0,4.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,21.0,,,,,,,,,,,42.0
204,CA,91354,3.0,,,2.0,,,,,1.0,,,3.0,,,,,,,,,,,9.0
205,CA,91355,1.0,,,,,,,,1.0,,,13.0,4.0,1.0,1.0,,,,,,,,21.0
206,CA,91356,1.0,,,,,,,,,1.0,16.0,103.0,,,,,,,,,,,121.0
207,CA,91360,,1.0,,1.0,1.0,,,1.0,,1.0,,77.0,6.0,1.0,,,,,,,,,89.0
208,CA,91361,5.0,,,,,2.0,,,,2.0,3.0,116.0,1.0,1.0,,,,,,,,,130.0
209,CA,91362,,,,,,,,1.0,,1.0,,108.0,1.0,,,,,,,,,,111.0
210,CA,91364,1.0,,,,,,,,,,12.0,99.0,,,,,,,,,,,112.0
211,CA,91367,,,,,,,,,,,2.0,63.0,,1.0,,,,,,,,,66.0
212,CA,91377,1.0,,2.0,,,2.0,,,,1.0,1.0,58.0,,,,,,,,,,,65.0
213,CA,91381,4.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,6.0
214,CA,91384,7.0,,1.0,2.0,3.0,2.0,1.0,8.0,15.0,11.0,12.0,53.0,17.0,2.0,,2.0,,,,,,,136.0
215,CA,91387,6.0,1.0,,2.0,,,1.0,,4.0,1.0,,60.0,37.0,20.0,5.0,,,,,,,,137.0
216,CA,91390,9.0,,,2.0,3.0,4.0,4.0,3.0,9.0,8.0,7.0,51.0,24.0,12.0,,,,,,,,1.0,137.0
217,CA,91401,,,,,,,,,,,,39.0,,,,,,,,,,,39.0
219,CA,91403,1.0,,,,,,,,,,3.0,121.0,1.0,,,,,,,,,,126.0
220,CA,91405,,,,,,,,,,,,19.0,1.0,,1.0,,,,,,,,21.0
221,CA,91406,,,,,,,,1.0,,,,42.0,1.0,,,,,,,,,,44.0
222,CA,91411,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
223,CA,91423,1.0,,,1.0,,,,,,,,174.0,1.0,1.0,3.0,,,,,,,,181.0
224,CA,91436,4.0,,2.0,,,,,,,,10.0,137.0,,1.0,1.0,,,,,,,,155.0
225,CA,91501,1.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,11.0,,,,,,,,,,,38.0
226,CA,91504,2.0,,1.0,,,,,,,,,13.0,,,,,,,,,,,16.0
227,CA,91505,,,,,,,,,1.0,,,27.0,,,,,,,,,,,28.0
228,CA,91506,,,,,,,,,,,,23.0,,,,,,,,,,,23.0
229,CA,91601,,,,,,,,,,,,22.0,,,,,,,,,,,22.0
230,CA,91602,,,,,,,,,,,,47.0,,,,,,,,,,,47.0
231,CA,91604,1.0,,,,,1.0,2.0,,,1.0,7.0,233.0,1.0,,2.0,1.0,,,,,,,249.0
232,CA,91605,1.0,,1.0,1.0,,,,,,,,16.0,,,,,,,,,,,19.0
233,CA,91606,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
234,CA,91607,1.0,,,,,,,,,,,43.0,,,,,,,,,,,44.0
235,CA,91701,7.0,,,,,,,,,1.0,1.0,20.0,,1.0,,,,,,,,,30.0
236,CA,91702,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
