,ZIP Code,growth_pol_23_24,policies_24,growth_pol_22_23,policies_23,growth_pol_21_22,policies_22,growth_pol_20_21,policies_21,policies_20,growth_exp_23_24,exposure_24,growth_exp_22_23,exposure_23,growth_exp_21_22,exposure_22,growth_exp_20_21,exposure_21,exposure_20
76,95223,0.022,4326,0.123,4233,0.096,3769,0.189,3440,2893,0.093,3489553244,0.214,3192860247,0.207,2629191876,0.295,2177905618,1681339365
77,95225,0.0,42,0.0,0,0.0,0,0.0,0,0,0.0,27326184,0.0,0,0.0,0,0.0,0,0
78,95226,0.0,16,0.0,0,0.0,0,0.0,0,0,0.0,9973894,0.0,0,0.0,0,0.0,0,0
79,95228,0.363,759,0.709,557,0.376,326,0.559,237,152,0.48,703866723,0.896,475680363,0.526,250903078,0.748,164397562,94022130
80,95232,0.041,51,0.256,49,0.56,39,0.087,25,23,0.155,39535740,0.277,34235585,0.783,26818238,0.208,15041873,12448780
81,95245,0.074,364,0.256,339,0.25,270,0.213,216,178,0.144,251282736,0.328,219667325,0.407,165365036,0.232,117512708,95396739
82,95246,0.118,313,0.25,280,0.266,224,0.301,177,136,0.133,225556234,0.314,199151321,0.395,151553217,0.411,108651463,76991348
83,95247,0.121,1195,0.272,1066,0.125,838,0.258,745,592,0.18,1103769832,0.32,935068217,0.217,708493148,0.351,582268455,430945571
84,95249,0.32,367,0.553,278,0.288,179,0.463,139,95,0.319,235167152,0.45,178275824,0.339,122937546,0.669,91808161,55017456
85,95251,0.103,150,0.204,136,0.046,113,0.521,108,71,0.11,106128596,0.226,95647590,0.085,78023609,0.617,71908470,44475955
86,95252,0.294,620,0.506,479,0.807,318,0.408,176,125,0.316,478387243,0.646,363630312,1.052,220913453,0.535,107667092,70119468
87,95254,0.0,23,0.0,0,0.0,0,0.0,0,0,0.0,17245352,0.0,0,0.0,0,0.0,0,0
88,95255,0.098,414,0.071,377,-0.03,352,0.194,363,304,0.153,270333556,0.149,234562559,0.06,204221468,0.254,192605853,153635944
89,95257,0.0,157,0.0,157,0.138,157,0.243,138,111,0.044,92275972,0.047,88346446,0.212,84360006,0.287,69598963,54062064
90,95912,-0.667,2,0.5,6,1.0,4,0.0,2,0,-0.609,2302980,0.683,5888956,0.778,3498998,0.0,1967500,0
91,95932,1.0,10,0.0,5,4.0,5,-0.5,1,2,0.653,4714632,-0.199,2851524,13.816,3561047,-0.809,240353,1256083
92,95955,-1.0,0,0.0,1,0.0,1,0.0,1,1,-1.0,0,0.063,136347,0.072,128251,0.055,119680,113450
93,95970,0.0,3,0.0,3,0.0,3,2.0,3,1,0.794,1230045,0.067,685541,0.07,642201,13.044,599978,42722
94,95979,0.611,29,0.636,18,1.75,11,-0.333,4,6,0.52,19576544,0.235,12879925,2.277,10430004,0.427,3182824,2230394
95,95987,-0.25,3,0.333,4,2.0,3,0.0,1,1,-0.319,1941360,0.976,2852777,3.751,1443508,0.042,303855,291524
96,94505,4.25,21,0.333,4,0.5,3,0.0,2,2,3.223,27489684,1.348,6510250,1.25,2772150,0.045,1232259,1179200
97,94506,3.226,579,1.585,137,0.325,53,-0.024,40,41,3.521,1226146776,1.958,271241018,0.563,91710759,0.019,58679794,57589580
98,94507,2.773,415,0.864,110,0.513,59,0.5,39,26,3.219,942048747,1.16,223283430,0.667,103349526,0.713,61983966,36187442
99,94509,1.6,78,-0.063,30,-0.135,32,0.057,37,35,2.591,55186928,0.195,15369701,0.01,12858621,0.101,12728745,11560414
100,94511,0.276,37,0.115,29,0.0,26,0.0,0,0,0.292,22843800,0.447,17679843,0.0,12221418,0.0,0,0
101,94513,1.5,80,0.524,32,0.235,21,-0.37,17,27,2.565,91274601,1.376,25600299,0.62,10776145,-0.313,6651852,9689214
102,94514,1.0,6,-0.25,3,0.0,4,0.0,4,4,2.978,4693135,-0.578,1179677,0.09,2795743,0.122,2564611,2286765
103,94517,1.873,158,0.774,55,3.429,31,0.167,7,6,1.781,224115358,0.886,80593616,5.82,42727923,0.804,6265314,3473576
104,94518,1.333,28,0.333,12,0.286,9,0.0,7,7,1.413,24269155,0.329,10056215,0.43,7568341,0.069,5292231,4948494
105,94519,0.833,11,-0.143,6,0.0,7,0.0,7,7,1.35,9158002,-0.16,3896212,0.078,4636979,0.058,4300307,4065108
106,94520,2.571,25,0.75,7,-0.2,4,0.0,5,5,3.219,14751952,1.178,3496752,-0.057,1605738,0.199,1702192,1420213
107,94521,2.294,56,2.4,17,-0.167,5,0.2,6,5,2.162,59571011,2.419,18836788,1.086,5508677,0.348,2640780,1959650
108,94523,3.632,88,0.9,19,-0.091,10,-0.083,11,12,5.293,108338029,1.465,17216075,-0.023,6985592,-0.03,7147153,7365927
109,94525,2.0,48,1.0,16,-0.333,8,0.333,12,9,2.259,56377054,1.564,17301327,-0.256,6748826,0.444,9067356,6280698
110,94526,4.679,301,0.828,53,0.933,29,0.25,15,12,5.125,564248324,0.836,92124908,1.37,50174686,0.424,21171549,14869864
111,94528,3.0,52,0.857,13,0.75,7,0.333,4,3,3.36,133313892,0.833,30575169,0.43,16676356,0.51,11660000,7721000
112,94530,3.224,207,0.633,49,0.111,30,0.421,27,19,4.431,305525888,0.863,56253037,0.151,30195550,0.961,26231499,13379204
113,94531,4.5,55,1.0,10,-0.167,5,-0.25,6,8,5.681,69619593,1.59,10420265,-0.134,4023721,0.036,4644924,4481448
114,94547,5.5,52,1.667,8,0.5,3,0.0,2,2,7.441,55408024,2.019,6564453,1.107,2174690,0.083,1032366,953327
115,94549,2.65,927,0.764,254,0.263,144,0.932,114,59,3.255,1854209395,0.924,435806746,0.386,226552395,1.577,163451120,63424593
116,94553,2.65,292,0.818,80,0.048,44,0.05,42,40,3.428,390819998,1.292,88261661,0.692,38512144,0.525,22757535,14919931
117,94556,4.569,284,1.125,51,0.143,24,0.5,21,14,5.509,512712241,1.365,78774822,0.241,33311974,0.91,26843796,14056073
118,94561,0.171,48,0.0,41,-0.317,41,0.0,60,60,0.941,29129666,0.102,15003977,-0.193,13621202,0.133,16887323,14907943
119,94563,2.503,1191,0.466,340,0.478,232,0.635,157,96,3.35,2334176573,0.545,536647616,0.677,347392013,1.087,207185521,99290732
120,94564,3.667,70,2.75,15,-0.2,4,-0.167,5,6,3.821,69396069,3.943,14393270,-0.198,2912046,0.253,3633224,2898603
121,94565,1.451,125,0.186,51,-0.306,43,-0.031,62,64,2.275,92905943,0.724,28370463,-0.234,16456253,0.058,21472143,20304225
122,94569,0.571,11,2.5,7,1.0,2,-0.5,1,2,0.515,10223518,0.857,6750312,4.536,3636007,-0.278,656794,909159
123,94572,0.667,15,0.125,9,-0.273,8,0.0,11,11,1.418,10975154,0.465,4538399,-0.302,3098192,0.094,4437188,4056059
124,94582,3.091,45,0.0,11,-1.0,0,-0.5,1,2,2.806,63650614,0.0,16723264,-1.0,0,-0.406,1362812,2295756
125,94583,1.844,182,0.829,64,0.25,35,1.154,28,13,1.952,295350600,0.896,100038816,0.508,52766910,1.628,34989462,13312329
126,94595,2.122,128,0.64,41,0.19,25,1.333,21,9,1.561,112071078,0.494,43766149,0.354,29294513,2.532,21637739,6126604
127,94596,4.0,50,0.111,10,-0.1,9,0.111,10,9,4.49,69231990,0.382,12611397,-0.067,9128571,0.418,9787969,6903254
128,94598,1.19,46,1.333,21,-0.25,9,-0.143,12,14,1.395,79569783,1.762,33218348,-0.135,12026875,0.15,13907671,12090438
129,94801,0.4,98,0.029,70,-0.15,68,0.053,80,76,0.908,72630392,0.093,38060729,0.057,34807193,0.166,32930569,28239352
130,94803,2.179,248,0.625,78,0.371,48,0.061,35,33,2.654,273123383,0.767,74737158,0.953,42287320,0.467,21652261,14761400
131,94804,0.87,101,0.174,54,-0.164,46,0.078,55,51,1.362,70213026,0.362,29721149,-0.173,21817207,0.319,26371368,19988113
132,94805,1.22,91,0.783,41,-0.08,23,0.316,25,19,1.644,82316439,1.186,31135907,-0.042,14241977,0.679,14862369,8851676
133,94806,0.721,105,0.034,61,0.017,59,-0.094,58,64,1.026,62983942,0.121,31090076,0.187,27723680,-0.026,23360602,23976202
134,95531,1.483,216,0.74,87,0.613,50,0.409,31,22,1.432,113361275,0.904,46610250,0.856,24485300,0.685,13190314,7829592
135,95543,-0.032,91,0.106,94,0.024,85,1.441,83,34,0.068,47619433,0.255,44584753,0.15,35529953,1.0,30899257,15453341
136,95548,0.5,21,0.4,14,0.667,10,1.0,6,3,0.667,8860223,0.442,5316033,0.741,3687692,1.914,2118051,726910
137,95567,0.154,15,3.333,13,-0.25,3,1.0,4,2,1.485,8934983,1.333,3595076,-0.139,1541226,0.716,1790191,1043247
138,95614,0.328,623,0.083,469,0.122,433,0.473,386,262,0.406,592766170,0.144,421615792,0.186,368519347,0.579,310695245,196804825
139,95619,0.691,509,0.87,301,0.268,161,0.411,127,90,0.725,310498244,0.884,180015729,0.35,95554886,0.477,70770975,47917647
140,95623,0.348,604,0.519,448,0.097,295,0.52,269,177,0.471,550429197,0.645,374295294,0.21,227474179,0.645,187959460,114228321
141,95633,0.246,745,0.051,598,0.086,569,0.139,524,460,0.322,574284648,0.123,434430939,0.149,386827843,0.183,336525083,284485477
142,95634,0.252,685,0.056,547,0.107,518,0.173,468,399,0.327,525683540,0.121,396164616,0.192,353408376,0.242,296550966,238809458
143,95635,0.138,272,0.03,239,0.132,232,0.158,205,177,0.173,216529129,0.108,184628619,0.229,166557619,0.2,135504389,112965120
144,95636,0.367,134,-0.067,98,-0.407,105,0.383,177,128,0.449,94101963,-0.011,64926677,-0.336,65656163,0.479,98894650,66883812
145,95651,0.27,113,0.391,89,0.016,64,0.26,63,50,0.334,98612117,0.418,73925090,0.08,52139366,0.316,48295874,36709734
146,95664,0.118,285,0.159,255,-0.013,220,0.517,223,147,0.168,256505245,0.215,219596819,0.056,180665271,0.683,171122328,101651513
147,95667,0.308,6395,0.112,4890,0.08,4398,0.136,4073,3586,0.393,5640102982,0.186,4049489865,0.162,3413841672,0.192,2938255456,2465932784
148,95672,0.27,578,0.285,455,0.131,354,0.768,313,177,0.367,654213432,0.426,478471329,0.265,335462447,0.877,265264396,141298693
149,95682,0.543,2100,0.652,1361,0.148,824,0.581,718,454,0.678,2246018081,0.771,1338274076,0.25,755595908,0.739,604465694,347667317
150,95684,0.112,737,0.203,663,-0.002,551,0.269,552,435,0.175,537990319,0.29,457852399,0.052,354914482,0.422,337276242,237229348
151,95709,0.139,935,0.072,821,0.045,766,0.576,733,465,0.197,865627146,0.121,722915333,0.116,644978954,0.693,578190563,341525456
152,95720,-0.039,146,0.086,152,-0.034,140,0.133,145,128,0.041,71982973,0.147,69151841,0.052,60309923,0.225,57325877,46790115
153,95721,0.0,57,0.018,57,-0.2,56,0.429,70,49,0.234,33955099,0.13,27521699,-0.195,24351718,0.932,30249095,15656088
154,95726,0.088,2458,0.047,2260,0.061,2159,0.13,2035,1801,0.155,1834996459,0.111,1588760799,0.133,1430350619,0.208,1262644633,1045649292
155,95735,0.13,113,0.205,100,-0.278,83,0.438,115,80,0.119,65069410,0.261,58129616,-0.127,46083572,0.585,52807466,33309496
156,95762,1.049,912,0.545,445,0.215,288,0.481,237,160,1.274,1397036925,0.692,614458016,0.292,363141002,0.652,281153672,170212474
157,96142,0.361,686,0.819,504,0.428,277,0.552,194,125,0.438,831196814,0.937,578086560,0.561,298375170,0.955,191110172,97762085
158,96150,0.207,4385,0.321,3633,0.173,2750,0.435,2344,1633,0.273,4382797628,0.422,3443528706,0.278,2421196329,0.573,1893802460,1203942704
