,ZIP Code,Voluntary Market Units,FAIR Plan Units,Total Ins Units,Pct Market,Pct FAIR
181,91201,3620,104,3724,0.9720730397422127,0.027926960257787327
182,91202,3413,130,3543,0.9633079311318092,0.0366920688681908
183,91203,1039,33,1072,0.9692164179104478,0.030783582089552237
184,91204,1003,65,1068,0.9391385767790262,0.060861423220973786
185,91205,3068,119,3187,0.9626608095387512,0.037339190461248825
186,91206,3899,610,4509,0.8647150144156133,0.13528498558438679
187,91207,2445,121,2566,0.9528448947778644,0.04715510522213562
188,91208,4064,387,4451,0.9130532464614693,0.08694675353853067
190,91214,8411,257,8668,0.9703507152745732,0.02964928472542686
191,91301,6504,579,7083,0.9182549767047861,0.0817450232952139
192,91302,6100,831,6931,0.8801038811138364,0.11989611888616361
193,91303,2344,75,2419,0.9689954526663911,0.03100454733360893
194,91304,8613,326,8939,0.9635305962635642,0.03646940373643584
195,91306,8579,156,8735,0.9821408128219805,0.017859187178019462
196,91307,7712,239,7951,0.9699408879386241,0.030059112061375928
197,91311,8135,283,8418,0.9663815633167023,0.0336184366832977
