ZIP,Median_Income_2017,Median_Income_2018,Median_Income_2019,Median_Income_2020,Median_Income_2021,Median_Income_2022,Median_Income_2023
92091,136250,141818,155789,165132,151458,96818,86705
92101,60417,66202,71925,71077,78092,86403,90477
92102,44801,47467,51744,54862,59586,68900,71319
92103,74523,77551,78720,78338,84756,94210,96887
92104,59202,64157,67668,73447,79929,86291,92862
92105,40272,40947,43282,48072,51868,58924,65174
92106,99250,102250,103840,114158,117589,119782,127209
92107,77631,82522,85299,84190,93741,101042,107262
92108,69008,72170,75296,80572,87032,97705,101704
92109,72945,77774,80467,92379,95170,106399,118300
92110,65211,68368,73651,77579,87286,95408,102508
92111,65098,69442,74217,77249,85347,94540,95081
92113,33125,36787,40310,43958,49651,56427,59177
92114,61430,64390,66015,73090,79917,84966,90171
92115,47536,48442,51636,56137,59931,68420,75178
92116,64959,67461,74559,78697,83869,93661,95775
92117,71472,77621,86243,91347,97702,101445,105286
92118,99641,101520,108967,108992,114559,125558,135056
92119,79121,84191,92500,97965,101109,105849,115600
92120,88202,91947,97747,102597,103596,111909,114579
92121,103953,106688,107786,118155,117200,125000,135795
92122,76872,80232,79816,81438,88073,98330,98825
92123,73272,78880,81899,90602,97691,111282,121856
92124,86068,89080,93147,94485,98693,105885,108219
92126,92061,93994,96915,99376,105284,116013,123232
92127,127227,134769,138338,147827,156464,166804,179220
92128,94925,97952,103238,104501,112779,125609,128150
92129,120279,121357,125250,126371,131688,146754,152626
92130,141926,149344,155452,157333,166789,186000,201731
92131,125035,128653,137500,137987,153058,169448,181281
92139,60656,64510,69541,75576,80594,87463,92381
92154,63638,64942,66498,70846,74705,83287,90035
92173,38911,42561,46549,48967,54003,58209,65865
92201,42329,42757,45848,44215,50144,60031,66663
92203,67878,67739,71711,77281,80430,90708,97969
92210,103365,99871,103750,108750,120680,132479,145313
92211,60531,62043,63936,66202,72445,82917,87682
92220,40055,41144,42963,44167,48622,55538,59116
92223,68739,73588,80148,86068,90074,99983,100462
92225,39288,41886,44647,43822,48102,52088,51294
92227,44127,43460,43061,47367,51459,56559,60593
92230,34615,48284,49286,47500,66337,73750,90068
92231,37703,40759,43504,42739,47476,51750,50114
92233,35347,35230,37009,40587,41071,46553,53282
92234,43423,46367,46521,50350,56671,63209,67031
92236,34463,34222,34436,34269,40641,52489,67235
92240,35879,36067,37060,40456,42155,48469,51284
92241,30658,30532,30933,31478,36268,42771,45210
92242,29714,29063,33276,42083,45994,41429,37679
92243,43842,46648,48290,47614,48888,54250,55890
92249,46786,44293,47021,58148,54668,56604,75664
92250,51758,53042,51250,49637,55777,56673,70250
92251,83909,84544,83566,82394,85599,90632,83709
92252,38405,37632,38333,42370,49032,53868,62821
92253,78228,81193,79027,76158,83348,92744,97397
92254,26830,24755,24194,26328,28897,38103,43464
92256,49563,50515,53500,44944,42552,45938,56821
92260,53750,54099,56898,61161,63023,68750,72252
92262,47840,49229,52092,55757,60289,63710,70514
92264,47679,50795,53778,60318,63518,70305,75246
92270,64754,71227,78682,84891,95158,105557,109943
92273,26071,27054,29595,32961,43500,53162,55167
92274,29330,27779,28660,26132,26500,30489,36087
92275,30259,27794,30660,24750,25975,32531,35658
92276,41302,44970,52333,58814,56055,68504,80280
92277,39466,40903,43080,41322,47049,50957,55515
92281,35536,35809,33214,31935,33833,35020,35882
92282,35754,37177,38396,41534,42500,70625,69271
92283,27000,23413,22100,27014,26685,33462,38359
92284,42723,41989,42360,45511,50353,50729,52886
92285,28650,31458,31810,35767,35732,39656,44038
92301,33919,38591,44574,48819,57714,61709,68205
92305,63594,53854,70250,88846,91016,108000,114453
92307,56579,58819,60732,59084,69595,71450,74715
92308,45585,49098,52330,54738,57265,60717,63484
92310,50621,53333,54787,55986,58000,63369,66964
92311,41757,42409,43395,46102,49919,57687,59338
92313,65565,67034,71971,70200,76791,89781,83668
92314,51333,51752,53932,56132,61034,70238,79191
92315,50047,51083,51155,55061,67547,71653,79293
92316,53648,55603,57772,63529,68589,76161,82117
92320,49619,52983,56051,61067,67835,74236,90313
92321,73311,62171,47222,49018,43542,47448,50893
92324,48578,51105,54435,58589,61070,66836,69419
92325,57118,57153,64667,63707,64549,76200,79254
92328,29605,34375,43750,90962,82750,85956,91198
92333,72109,74706,74779,80000,117708,136875,78333
92335,47226,50730,53099,58070,64946,70082,75198
92336,87744,90172,92569,96447,103200,116942,121989
92337,76046,77087,83081,84649,89965,99414,104936
92339,65167,60625,73438,63661,77649,70795,86492
92342,72872,75109,69882,75045,81861,99250,110586
92344,80230,82229,83095,89795,90560,98533,99909
92345,46696,50836,51118,51712,54881,64243,65949
92346,60732,61823,66560,67823,74569,81571,84818
92347,43750,45168,38438,38140,40923,44063,45733
92352,73875,79340,82398,89625,97034,104683,106575
92354,54877,54850,57855,59320,67776,72951,86063
92356,27708,30513,31008,36701,36720,43780,46625
