ZIP,DATE,DISASTER
91210,2024,Fire
91221,2024,Fire
91222,2024,Fire
91225,2024,Fire
91226,2024,Fire
91302,2024,Fire
91306,2024,Fire
91310,2024,Fire
91311,2024,Fire
91313,2024,Fire
91316,2024,Fire
91321,2024,Fire
91322,2024,Fire
91324,2024,Fire
91325,2024,Fire
91327,2024,Fire
91328,2024,Fire
91329,2024,Fire
91330,2024,Fire
91331,2024,Fire
91333,2024,Fire
91334,2024,Fire
91335,2024,Fire
91337,2024,Fire
91342,2024,Fire
91354,2024,Fire
91355,2024,Fire
91356,2024,Fire
91357,2024,Fire
91372,2024,Fire
91384,2024,Fire
91385,2024,Fire
91392,2024,Fire
91396,2024,Fire
91416,2024,Fire
91426,2024,Fire
91436,2024,Fire
91501,2024,Fire
91502,2024,Fire
91503,2024,Fire
91504,2024,Fire
91505,2024,Fire
91506,2024,Fire
91507,2024,Fire
91508,2024,Fire
91510,2024,Fire
91521,2024,Fire
91522,2024,Fire
91523,2024,Fire
91526,2024,Fire
91702,2024,Fire
91711,2024,Fire
91722,2024,Fire
91723,2024,Fire
91724,2024,Fire
91740,2024,Fire
91741,2024,Fire
91766,2024,Fire
91767,2024,Fire
91768,2024,Fire
91769,2024,Fire
91770,2024,Fire
91771,2024,Fire
91772,2024,Fire
91788,2024,Fire
91789,2024,Fire
91795,2024,Fire
91797,2024,Fire
91799,2024,Fire
91801,2024,Fire
91802,2024,Fire
91803,2024,Fire
91804,2024,Fire
91841,2024,Fire
91896,2024,Fire
91899,2024,Fire
93510,2024,Fire
93534,2024,Fire
93535,2024,Fire
93536,2024,Fire
93539,2024,Fire
93543,2024,Fire
93544,2024,Fire
93550,2024,Fire
93551,2024,Fire
93552,2024,Fire
93553,2024,Fire
93563,2024,Fire
93584,2024,Fire
93586,2024,Fire
93590,2024,Fire
93591,2024,Fire
93599,2024,Fire
91708,2024,Fire
91710,2024,Fire
91743,2024,Fire
91758,2024,Fire
91761,2024,Fire
91762,2024,Fire
91763,2024,Fire
91764,2024,Fire
91784,2024,Fire
91785,2024,Fire
91786,2024,Fire
91798,2024,Fire
92242,2024,Fire
92268,2024,Fire
92280,2024,Fire
92285,2024,Fire
92301,2024,Fire
92304,2024,Fire
92309,2024,Fire
92311,2024,Fire
92312,2024,Fire
92316,2024,Fire
92323,2024,Fire
92324,2024,Fire
92325,2024,Fire
92327,2024,Fire
92329,2024,Fire
92331,2024,Fire
92332,2024,Fire
92333,2024,Fire
92334,2024,Fire
92335,2024,Fire
92336,2024,Fire
92337,2024,Fire
92338,2024,Fire
92340,2024,Fire
92342,2024,Fire
92344,2024,Fire
92345,2024,Fire
92346,2024,Fire
92347,2024,Fire
92359,2024,Fire
92363,2024,Fire
92364,2024,Fire
92369,2024,Fire
92371,2024,Fire
92373,2024,Fire
92374,2024,Fire
92375,2024,Fire
92376,2024,Fire
92377,2024,Fire
92378,2024,Fire
92385,2024,Fire
92386,2024,Fire
92392,2024,Fire
92393,2024,Fire
92394,2024,Fire
92395,2024,Fire
92397,2024,Fire
92398,2024,Fire
92399,2024,Fire
93562,2024,Fire
93592,2024,Fire
91708,2024,Fire
91710,2024,Fire
91743,2024,Fire
91758,2024,Fire
91761,2024,Fire
91762,2024,Fire
91763,2024,Fire
91764,2024,Fire
91784,2024,Fire
91785,2024,Fire
91786,2024,Fire
91798,2024,Fire
92242,2024,Fire
92268,2024,Fire
92280,2024,Fire
92285,2024,Fire
92301,2024,Fire
92304,2024,Fire
92309,2024,Fire
92311,2024,Fire
92312,2024,Fire
92316,2024,Fire
92323,2024,Fire
92324,2024,Fire
92325,2024,Fire
92327,2024,Fire
92329,2024,Fire
92331,2024,Fire
92332,2024,Fire
92333,2024,Fire
92334,2024,Fire
92335,2024,Fire
92336,2024,Fire
92337,2024,Fire
92338,2024,Fire
92340,2024,Fire
92342,2024,Fire
92344,2024,Fire
92345,2024,Fire
92346,2024,Fire
92347,2024,Fire
92359,2024,Fire
92363,2024,Fire
92364,2024,Fire
92369,2024,Fire
92371,2024,Fire
92373,2024,Fire
92374,2024,Fire
92375,2024,Fire
92376,2024,Fire
92377,2024,Fire
92378,2024,Fire
92385,2024,Fire
92386,2024,Fire
92392,2024,Fire
92393,2024,Fire
92394,2024,Fire
92395,2024,Fire
92397,2024,Fire
92398,2024,Fire
92399,2024,Fire
93562,2024,Fire
93592,2024,Fire
95910,2024,Fire
95936,2024,Fire
96118,2024,Fire
96124,2024,Fire
96126,2024,Fire
93203,2024,Fire
93205,2024,Fire
93206,2024,Fire
93215,2024,Fire
93216,2024,Fire
93220,2024,Fire
93224,2024,Fire
93226,2024,Fire
93238,2024,Fire
93241,2024,Fire
93243,2024,Fire
93252,2024,Fire
93255,2024,Fire
93263,2024,Fire
93268,2024,Fire
93276,2024,Fire
93280,2024,Fire
93283,2024,Fire
93287,2024,Fire
93301,2024,Fire
93302,2024,Fire
93303,2024,Fire
93304,2024,Fire
93305,2024,Fire
93306,2024,Fire
93307,2024,Fire
93308,2024,Fire
93309,2024,Fire
93311,2024,Fire
93312,2024,Fire
93313,2024,Fire
93314,2024,Fire
93380,2024,Fire
93381,2024,Fire
93382,2024,Fire
93383,2024,Fire
93384,2024,Fire
93385,2024,Fire
93386,2024,Fire
93387,2024,Fire
93388,2024,Fire
93389,2024,Fire
93390,2024,Fire
93501,2024,Fire
93502,2024,Fire
93516,2024,Fire
93518,2024,Fire
93519,2024,Fire
93523,2024,Fire
93524,2024,Fire
93527,2024,Fire
93528,2024,Fire
93531,2024,Fire
93554,2024,Fire
93555,2024,Fire
93556,2024,Fire
93560,2024,Fire
93561,2024,Fire
93581,2024,Fire
93596,2024,Fire
95914,2024,Fire
95917,2024,Fire
95926,2024,Fire
95927,2024,Fire
95928,2024,Fire
95929,2024,Fire
95938,2024,Fire
95941,2024,Fire
95948,2024,Fire
95954,2024,Fire
95958,2024,Fire
95965,2024,Fire
95966,2024,Fire
95967,2024,Fire
95968,2024,Fire
95969,2024,Fire
95973,2024,Fire
95974,2024,Fire
95976,2024,Fire
96021,2024,Fire
96029,2024,Fire
96035,2024,Fire
96059,2024,Fire
96063,2024,Fire
96074,2024,Fire
96078,2024,Fire
96090,2024,Fire
96092,2024,Fire
95915,2024,Fire
95947,2024,Fire
95971,2024,Fire
95980,2024,Fire
95983,2024,Fire
95984,2024,Fire
96020,2024,Fire
96103,2024,Fire
96105,2024,Fire
96106,2024,Fire
96122,2024,Fire
96129,2024,Fire
96135,2024,Fire
96014,2024,Fire
96023,2024,Fire
96025,2024,Fire
96027,2024,Fire
96034,2024,Fire
96037,2024,Fire
96038,2024,Fire
96044,2024,Fire
96057,2024,Fire
96058,2024,Fire
96064,2024,Fire
96094,2024,Fire
96097,2024,Fire
96134,2024,Fire
95914,2024,Fire
95917,2024,Fire
95926,2024,Fire
95927,2024,Fire
95928,2024,Fire
95929,2024,Fire
95938,2024,Fire
95941,2024,Fire
95948,2024,Fire
95954,2024,Fire
95958,2024,Fire
95965,2024,Fire
95966,2024,Fire
95967,2024,Fire
95968,2024,Fire
95969,2024,Fire
95973,2024,Fire
95974,2024,Fire
95976,2024,Fire
94501,2024,Storm
94502,2024,Storm
94536,2024,Storm
94537,2024,Storm
94538,2024,Storm
94539,2024,Storm
94540,2024,Storm
94541,2024,Storm
94542,2024,Storm
94543,2024,Storm
94544,2024,Storm
94545,2024,Storm
94550,2024,Storm
94551,2024,Storm
94555,2024,Storm
94557,2024,Storm
94560,2024,Storm
94566,2024,Storm
94568,2024,Storm
94586,2024,Storm
94588,2024,Storm
94601,2024,Storm
94602,2024,Storm
94603,2024,Storm
94604,2024,Storm
