ZIP,Median_Income_ACSST5Y2017,Median_Income_ACSST5Y2018,Median_Income_ACSST5Y2019,Median_Income_ACSST5Y2020,Median_Income_ACSST5Y2021,Median_Income_ACSST5Y2022,Median_Income_ACSST5Y2023
94965,101947.0,103424,105391,108901,125070,136098,140417
94970,119934.0,120882,121071,122721,104875,74643,117188
94971,84737.0,106000,-,109063,80139,103958,109375
94973,93403.0,72135,56379,120825,125579,151806,207273
95002,82845.0,91667,95875,100000,110536,107438,89861
95003,91500.0,96600,103982,115633,128833,136506,140990
95004,98672.0,106047,110741,114063,116779,173333,165781
95005,76250.0,87168,95242,87860,89761,105577,107857
95006,80991.0,90130,102583,111792,120243,137552,128483
95008,106536.0,115453,122947,121231,128476,139688,142841
95010,69590.0,80011,71531,81095,83827,91771,96701
95012,54793.0,54333,61373,69528,69076,73058,79903
95013,51500.0,67708,-,-,-,-,-
95014,150529.0,160801,168538,179702,198602,222878,229074
95017,70000.0,63333,66484,59609,76667,78542,100750
95018,96651.0,102163,105189,109467,106597,109778,119130
95019,38854.0,46038,47025,59256,61891,65294,68314
95020,90144.0,95829,102741,108494,117236,128977,134242
95023,82935.0,83305,86337,86047,94775,103238,108156
95030,180222.0,197647,209563,199063,215461,242500,"250,000+"
95032,129177.0,135833,154810,153214,163082,185822,195188
95033,147619.0,162308,177000,168723,161971,176938,183836
95035,110659.0,125055,132236,136966,149223,166931,176723
95037,108554.0,120864,125057,128381,139716,153091,158256
95039,39971.0,41551,49556,41154,43867,48700,58214
95041,55845.0,56667,58786,57734,142944,104853,161034
95043,73333.0,74205,76500,105625,104423,112000,126111
95045,62589.0,77644,88804,81886,97369,104456,106377
95046,110500.0,113187,117344,123818,130559,148000,157458
95050,84269.0,88872,96872,102000,107311,119356,130051
95051,113021.0,125520,134230,150094,160979,177365,185632
95054,140890.0,148011,152500,158212,171799,194316,204052
95060,65237.0,71485,78344,87159,93839,101962,106040
95062,69472.0,74061,79233,88204,91801,101291,108261
95064,44444.0,46375,54063,86250,107500,114271,119787
95065,91957.0,92225,104464,116208,121538,136469,142768
95066,102924.0,106113,111480,109894,130975,141373,146941
95070,173739.0,177041,193617,201279,222235,237455,240980
95073,86169.0,88667,93704,96052,105508,112068,113929
95075,70893.0,68125,77083,128750,138611,131250,130962
95076,61211.0,63979,66991,76010,81318,86062,86685
95110,76250.0,87634,95829,98209,119408,129265,132800
95111,66549.0,69039,73093,77009,81166,90808,97162
95112,60569.0,63500,66501,74019,83224,85080,89649
