"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/90212","","90212","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",2000001,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90220","","90220","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",394900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90221","","90221","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",412600,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90222","","90222","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",420700,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90230","","90230","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",849200,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90232","","90232","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1219100,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90240","","90240","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",646900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90241","","90241","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",627700,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90242","","90242","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",557700,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90245","","90245","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1244200,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
