ZIP Code,Nonrenewed Policies (by Company),% Market Units,New Policies,Total Res Units,% Change - Expiring Policies,Nonrenewed Policies (by Owner),Renewed Policies,% Change - Nonrenewed Policies (by Owner),% Nonrenewed Policies (by Company),% Change - Earned Premiums,Housing Units,% Change - Renewed Policies,Voluntary Market Units,% Change - Nonrenewed Policies (by Company),% Change Median Income,% Change - New Policies,Earned Premium ($),% Nonrenewed Policies (by Owner),% Change - Zillow Home Value,Avg % White-only Pop,Avg Median Income,Fire Disasters 5y,% Change White-only Pop,Fire Disasters 10y,Median Gross Rent ($),Claims (Fire and Smoke),% Change - Losses (Fire and Smoke),Losses (Fire and Smoke) ($),Median Owner Cost ($),All Disasters 10y,% Change - Claims (Fire and Smoke),Zillow Home Value 2018 ($),Zillow Mean Home Value ($),Zillow Home Value 2020 ($),Zillow Home Value 2019 ($),Median Home Value - Census ($),Zillow Home Value 2021 ($),All Disasters 5y,All Disasters 1y,All Disasters 3y,Fire Disasters 1y,Fire Disasters 3y
93611,628.0,0.9997835966241072,6595.0,13863.0,0.0102250892121877,5733.0,52080.0,-0.0608868299139642,0.0107458804606355,0.2805982118349988,15826.0,0.0172079683745445,13860.0,0.1187499999999999,0.3647474651306707,-0.0292887029288703,52518889.0,0.0980989373898461,0.3231355663380337,56.71428571428572,99363.28571428572,3.0,-21.700000000000003,4.0,1798.0,288.0,0.3746624466894586,5720776.0,654.0,7.0,1.3428571428571423,331801.3347,370998.81925,372326.9854,340848.81,365400.0,439018.1469,6.0,1.0,4.0,0.0,3.0
93612,520.0,0.9994455994455994,3609.0,7215.0,0.0154220779220779,2937.0,26337.0,0.0550206327372764,0.0174531784923138,0.298481391708526,14211.0,0.0145839729812711,7211.0,-0.1390728476821192,0.5749256519281343,-0.011943539630836,22113949.0,0.0985768946767805,0.3285867587246445,56.71428571428572,50138.28571428572,3.0,-21.700000000000003,4.0,1151.0,146.0,1.4844923420320035,4500205.0,484.0,7.0,4.777777777777778,246961.468,278223.4612,279258.6347,258564.0058,243900.0,328109.7363,6.0,1.0,4.0,0.0,3.0
93614,998.0,0.8295871559633028,2723.0,4360.0,0.0261768082663604,1809.0,15047.0,0.3179347826086955,0.0558978380194914,0.4118454659955941,4963.0,-0.0062353858144972,3617.0,0.1521739130434782,0.4541022611936573,-0.1206293706293706,23635766.0,0.101321832642545,0.3347737699314095,61.01428571428572,74787.14285714286,4.0,-32.6,6.0,1577.0,90.0,-0.3344806877213397,5659195.0,516.0,9.0,0.4081632653061222,299133.888,335702.7931,335402.0923,308999.1247,307300.0,399276.0674,7.0,2.0,5.0,0.0,3.0
93615,97.0,0.9950310559006212,357.0,805.0,0.0314861460957178,241.0,2902.0,0.0923076923076922,0.0299382716049382,0.2380733268705857,1473.0,0.0282885431400283,801.0,-0.0454545454545454,0.7591329130322135,0.0101010101010101,1995936.0,0.0743827160493827,0.3913059570783501,64.10000000000001,47537.42857142857,5.0,-36.3,6.0,1106.0,32.0,4.415209515931198,621726.0,313.0,9.0,21.0,171143.4868,202846.2392,210060.0521,192068.4652,171900.0,238112.9527,8.0,3.0,5.0,2.0,4.0
93618,699.0,0.9991528295493052,2943.0,5902.0,0.0746718694572543,1841.0,20823.0,0.0310421286031041,0.0299191028549415,0.3579328764303096,8565.0,0.0740445859872611,5897.0,0.2147239263803682,0.5411067482867107,0.1216216216216217,15236630.0,0.078799811668022,0.3330255418759276,64.10000000000001,49454.42857142857,5.0,-36.3,6.0,971.0,173.0,5.197413191467781,4831692.0,499.0,9.0,7.384615384615385,226554.1543,258181.60085,262125.0506,242044.7242,237000.0,302002.4743,8.0,3.0,5.0,2.0,4.0
93619,919.0,0.9939744516751025,11060.0,16596.0,0.1792446170137662,7110.0,53999.0,0.1811414392059553,0.0148158895982459,0.5366624021856332,15605.0,0.1761524178574312,16496.0,0.3915662650602409,0.2015391014975041,0.0798209623274897,60784208.0,0.1146256529309344,0.3288920646707336,56.71428571428572,123264.57142857143,3.0,-21.700000000000003,4.0,2126.0,307.0,-0.10470004467515,9993659.0,747.0,7.0,2.6153846153846154,420619.8518,470039.515725,468529.4007,432050.4271,452500.0,558958.3833,6.0,1.0,4.0,0.0,3.0
93620,234.0,0.9985693848354792,1144.0,2097.0,0.0428367444074251,835.0,7542.0,-0.0633484162895927,0.0271745441876669,0.3373374650772134,2991.0,0.0577875619152448,2094.0,-0.0158730158730159,0.2246551131621582,-0.0769230769230768,5790659.0,0.0969689931482986,0.4585715699350252,49.25714285714286,46329.57142857143,2.0,-21.5,3.0,989.0,23.0,1.1530369582855382,1029519.0,526.0,3.0,0.1999999999999999,227467.1291,270628.200275,274626.2468,248642.3376,267700.0,331777.0876,2.0,0.0,2.0,0.0,2.0
93622,153.0,0.9948085658663206,744.0,1541.0,0.0371669004207573,471.0,5108.0,-0.0948905109489051,0.026692254012561,0.3377431140451949,2865.0,0.0463629096722622,1533.0,0.2105263157894736,0.0825090189689281,0.7908496732026145,4263609.0,0.0821702721563154,0.3164650775593913,56.71428571428572,40685.142857142855,3.0,-21.700000000000003,4.0,688.0,25.0,-0.7075082421251678,713734.0,412.0,7.0,0.5,206127.5064,233690.75087500003,237836.5165,219439.3169,185900.0,271359.6637,6.0,1.0,4.0,0.0,3.0
93625,146.0,0.9977337110481588,975.0,1765.0,0.0970384373030874,637.0,5852.0,0.1118881118881118,0.0220045214770158,0.402455899360143,2692.0,0.0921985815602837,1761.0,0.2352941176470588,0.2044689829531723,0.201834862385321,5615752.0,0.0960060286360211,0.3382153492495006,56.71428571428572,58474.42857142857,3.0,-21.700000000000003,4.0,1077.0,39.0,-0.2730234041704876,756425.0,496.0,7.0,4.0,302483.6035,341751.164075,346164.0742,313568.7775,298100.0,404788.2011,6.0,1.0,4.0,0.0,3.0
93630,243.0,0.99479618386817,1840.0,3459.0,0.0697115384615385,1303.0,12248.0,-0.0930232558139535,0.0176163549369291,0.3177299938378559,5866.0,0.0848153214774281,3441.0,0.2666666666666666,0.2956018021883716,-0.1252525252525252,10956496.0,0.0944613600115992,0.3720890360003255,56.71428571428572,53864.57142857143,3.0,-21.700000000000003,4.0,1050.0,76.0,0.7393753940663015,2697947.0,562.0,7.0,6.6000000000000005,265873.8523,304509.86955,308322.8845,279040.1437,262200.0,364802.5977,6.0,1.0,4.0,0.0,3.0
93635,758.0,0.9996740335093552,6676.0,15339.0,0.0867791077257889,4645.0,40520.0,0.127659574468085,0.0165058902946236,0.4104807252731222,13401.0,0.0834879406307977,15334.0,0.0151515151515151,0.5045883279749611,0.1007281553398058,33150047.0,0.1011475731115127,0.3962292340762094,49.25714285714286,62949.142857142855,2.0,-21.5,3.0,1328.0,102.0,0.0726254763577829,3432779.0,511.0,3.0,-0.2258064516129033,321926.0767,371479.810325,370527.1468,343983.4183,343000.0,449482.5995,2.0,0.0,2.0,0.0,2.0
