ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units_x,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience,market_units,fair_plan_units,total_units_y,pct_market,pct_fair_plan,exposure_22
90212,584,4999,580,1344,2000001.0,91771.25,20121653,14941,5579,0.0,9.625862068965516,4.154017857142857,21.79332852064236,175023.3209114335,1346.7407134729938,0.103961283384119,0.896038716615881,1316,28,1344,0.9791666666666666,0.0208333333333333,28549525
90220,4094,31345,3806,9512,394900.0,59419.5,24450768,41243,35151,2.125,9.311350499211771,3.7257148864592096,6.645966391504473,35924.89355306273,592.8464951628155,0.1082757247304486,0.8917242752695513,8811,701,9512,0.9263036164844408,0.0736963835155593,213310049
90221,3144,26648,2759,8325,412600.0,52858.0,19010197,34554,29407,2.125,10.798115259151867,3.578618618618618,7.805819365091377,37938.95879335824,550.1590843317706,0.0938211990342435,0.9061788009657564,7454,871,8325,0.8953753753753754,0.1046246246246246,273156086
90222,2373,17355,2152,5427,420700.0,54131.75,12300753,23110,19507,2.125,9.16728624535316,3.6351575456053062,7.771779039103668,38599.24763878438,532.2697100822155,0.1103193725329368,0.8896806274670631,4816,611,5427,0.8874147779620416,0.1125852220379583,182708008
90230,1940,19662,1905,5233,849200.0,87626.75,28798215,44377,21567,0.0,11.339632545931758,4.12803363271546,9.691104599908131,74616.62592051244,648.9446109471122,0.0883293921268604,0.9116706078731396,5189,44,5233,0.991591821135104,0.0084081788648958,24989090
90232,1253,12297,1211,3378,1219100.0,94169.75,15243525,22964,13508,0.0,11.189099917423617,4.01124925991711,12.945770802194971,106445.08083300672,663.8009493119665,0.0896505774355937,0.9103494225644064,3336,42,3378,0.9875666074600356,0.0124333925399644,15289463
90240,2393,20988,2260,5566,646900.0,86932.5,19905031,27134,23248,2.125,10.345575221238938,4.200682716492993,7.441405688321399,56880.89459302237,733.5826269624825,0.0972126634549208,0.9027873365450793,5457,109,5566,0.9804168163851958,0.0195831836148041,61406225
90241,2832,27352,2700,7325,627700.0,72352.0,24360167,40779,30052,2.125,11.17925925925926,4.120682593856655,8.67564130915524,56098.24485493188,597.3703867186542,0.0898442699321176,0.9101557300678824,7201,124,7325,0.9830716723549487,0.0169283276450511,64556262
90242,2659,27186,2535,7322,557700.0,71323.5,19810541,38713,29721,2.125,11.773175542406312,4.076072111444961,7.819302193526678,49906.12447084513,511.72838581355103,0.0852932270112042,0.9147067729887958,7163,159,7322,0.9782846216880634,0.0217153783119366,69708416
90245,1171,12731,1115,3363,1244200.0,112729.75,16124005,24070,13846,0.0,12.468161434977578,4.133809099018733,11.03701551719932,106956.66505545644,669.8797257997508,0.080528672540806,0.919471327459194,3359,4,3363,0.9988105857865002,0.0011894142134998,2038250
90247,2489,25252,2411,7799,540800.0,58444.75,21659291,39909,27663,2.125,11.506014102032353,3.556994486472625,9.25318356225324,49271.86810248929,542.7169560750708,0.0871561291255467,0.9128438708744532,7575,224,7799,0.9712783690216694,0.0287216309783305,72133990
90248,859,8946,866,2372,571200.0,64223.0,7427865,11824,9812,2.125,11.32217090069284,4.133642495784148,8.894009934135745,51598.3721275345,628.2023849797023,0.088259274357929,0.911740725642071,2326,46,2372,0.9806070826306914,0.0193929173693086,18091131
90249,1972,20539,1913,5473,584000.0,63878.5,16262743,26577,22452,2.125,11.767381076842655,4.113100676046044,9.142356191832931,52780.28215748407,611.9104112578545,0.0852039907357919,0.914796009264208,5396,77,5473,0.9859309336744017,0.0140690663255983,30983794
90250,4663,47124,4391,13245,661400.0,58926.0,38644035,73731,51515,2.125,11.793896606695514,3.909928274820687,11.22424736109697,60214.65131143866,524.1219432803027,0.0852373095214985,0.9147626904785016,12867,378,13245,0.9714609286523216,0.0285390713476783,111099896
90254,1933,19849,1878,5197,1674500.0,140194.5,32122858,37520,21727,0.0,11.598509052183172,4.1912641908793535,11.94412048974817,141298.64438782173,856.1529317697228,0.0864362314171307,0.9135637685828693,5181,16,5197,0.996921300750433,0.003078699249567,4622877
90255,2855,29554,2621,9668,455000.0,47709.5,17278183,40311,32175,0.0,12.365127813811522,3.3521928009929667,9.536884687536023,42235.66532375407,428.62203864950015,0.0814607614607614,0.9185392385392386,8518,1150,9668,0.8810508895324782,0.1189491104675217,344265759
90260,2323,23831,2238,6623,597300.0,68503.0,16264306,33771,26069,2.125,11.68632707774799,3.9489657255020383,8.719326160898063,53643.43932253504,481.6056971958189,0.0858490927922053,0.9141509072077948,6475,148,6623,0.9776536312849162,0.0223463687150838,46079594
90262,3137,31719,3046,9565,449600.0,55322.75,18679859,40668,34765,2.125,11.443204202232437,3.644119184526921,8.12685558834295,41168.619255953156,459.325735221796,0.0876168560333668,0.9123831439666332,8712,853,9565,0.9108207004704651,0.0891792995295347,281460380
90266,4242,42425,4314,10876,2000001.0,156654.5,79917999,59648,46739,0.0,10.81757070004636,4.2908238322912835,12.76695530610356,167199.02779248235,1339.8269682135194,0.0922997924645371,0.9077002075354628,10842,34,10876,0.9968738506803972,0.0031261493196027,28544099
90270,1063,11772,987,3800,481800.0,47377.75,5869066,15023,12759,2.125,13.00405268490375,3.3776315789473683,10.169330540179724,44752.379504670826,390.67203621114294,0.0773571596520103,0.9226428403479896,3381,419,3800,0.8897368421052632,0.1102631578947368,114175618
