,ZIP Code,new_policies,renewed_policies,company_nonrenewed,owner_nonrenewed,nonrenewed_policies,expiring_policies,pct_nonrenewed_policies,pct_nonrenewed_owner,pct_nonrenewed_company,ratio_new_to_nonrenewed
76,90248,859,8946,688,178,866,9812,0.08825927435792906,0.01814105177333877,0.0701182225845903,0.9919168591224018
77,90249,1972,20539,1562,351,1913,22452,0.0852039907357919,0.015633351149118117,0.0695706395866738,1.0308416100365918
78,90250,4663,47124,3679,712,4391,51515,0.08523730952149859,0.013821217121226827,0.07141609240027176,1.0619448872694146
79,90254,1933,19849,1626,252,1878,21727,0.08643623141713076,0.011598471947346619,0.07483775946978415,1.0292864749733759
80,90255,2855,29554,1877,744,2621,32175,0.08146076146076146,0.023123543123543124,0.05833721833721834,1.0892789011827546
81,90260,2323,23831,1886,352,2238,26069,0.0858490927922053,0.013502627642026928,0.07234646515017837,1.0379803395889187
82,90262,3137,31719,2228,818,3046,34765,0.08761685603336689,0.023529411764705882,0.064087444268661,1.0298752462245568
83,90265,2532,16548,1824,1043,2867,19415,0.1476693278392995,0.053721349472057686,0.09394797836724182,0.8831531217300314
84,90266,4242,42425,3778,536,4314,46739,0.09229979246453711,0.011467938980294828,0.08083185348424228,0.9833101529902643
85,90270,1063,11772,735,252,987,12759,0.07735715965201034,0.019750764166470727,0.05760639548553962,1.077001013171226
86,90272,3190,25881,2295,969,3264,29145,0.11199176531137417,0.033247555326814206,0.07874420998455996,0.977328431372549
87,90274,3442,31981,2865,543,3408,35389,0.09630111051456668,0.015343750883042753,0.08095735963152392,1.0099765258215962
88,90275,4909,47105,4031,794,4825,51930,0.09291353745426535,0.015289813210090507,0.07762372424417485,1.0174093264248705
89,90277,2688,27063,2244,308,2552,29615,0.08617254769542462,0.010400135066689178,0.07577241262873544,1.0532915360501567
90,90278,3345,34529,2900,421,3321,37850,0.08774108322324967,0.011122853368560106,0.07661822985468957,1.007226738934056
91,90280,4879,51597,3480,1115,4595,56192,0.08177320615034168,0.01984268223234624,0.061930523917995445,1.0618063112078346
92,90290,1085,4552,540,415,955,5507,0.17341565280552024,0.07535863446522607,0.09805701834029418,1.1361256544502618
93,90291,3152,24905,2693,494,3187,28092,0.11344866866011676,0.017585077602164316,0.09586359105795245,0.9890178851584562
94,90292,723,5218,647,115,762,5980,0.1274247491638796,0.019230769230769232,0.10819397993311036,0.9488188976377953
95,90293,775,6287,682,101,783,7070,0.11074964639321075,0.014285714285714285,0.09646393210749646,0.9897828863346104
96,90301,1412,13560,949,253,1202,14762,0.08142528112721853,0.01713859910581222,0.06428668202140632,1.1747088186356074
