ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90035,2037,15402,2012,4304,1494600.0,92452.0,32753730,36492,17414,0.0,8.667495029821074,4.051812267657993,16.166226798771255,130710.32455058907,897.5591910555738,0.11553922131618238,0.8844607786838177
90036,1761,12840,1752,3831,1634700.0,83430.0,38774782,58738,14592,0.0,8.33390410958904,3.8112764291307752,19.593671341244157,144258.22054079716,660.1311246552488,0.12006578947368421,0.8799342105263158
90037,3280,19294,2898,8426,502000.0,38088.25,18246165,32967,22192,0.0,7.7895100069013115,2.6790885354854024,13.17991769115147,47593.489641522385,553.4675584675584,0.13058759913482337,0.8694124008651767
90038,878,5148,808,1790,945000.0,46745.5,8845120,20622,5956,0.0,7.457920792079208,3.3664804469273744,20.215849653977386,87886.75646726257,428.9166909126176,0.1356615177971793,0.8643384822028207
90039,3118,25960,2920,7624,972900.0,90974.75,32980369,42198,28880,0.0,9.958219178082192,3.8140083945435466,10.694176131289176,85205.0501411777,781.562372624295,0.10110803324099724,0.8988919667590027
90040,813,7439,744,2248,452100.0,51291.75,4444889,9644,8183,0.0,11.091397849462366,3.670818505338078,8.814282998727865,41686.317296691646,460.8968270427209,0.09092020041549553,0.9090797995845045
90041,2434,22054,2221,6207,886800.0,88197.5,24519856,30862,24275,0.0,11.025664115263394,3.9452231351699694,10.054706766064799,77875.99872167666,794.4999027930788,0.09149330587023687,0.9085066941297631
90043,4315,35756,3958,10520,684500.0,54778.25,39306922,46925,39714,0.0,10.124052551793834,3.8090304182509507,12.49583548214848,62734.57589612394,837.6541715503463,0.09966258750062951,0.9003374124993705
90044,5932,41702,5253,14745,461200.0,38278.5,33137277,59740,46955,0.0,9.067961165048544,3.2305188199389625,12.048538997087137,43704.688120467006,554.6916136591898,0.11187306996060058,0.8881269300393995
90045,3499,34001,3439,8996,1103500.0,106967.0,40654085,61170,37440,0.0,10.904332654841523,4.168519341929747,10.316265764207653,95291.34132104083,664.6082229851235,0.09185363247863249,0.9081463675213676
