zipcode,State,CountyName,City,2018,2019,2020,2021,mean_2018_2021,percent_increase_2018_2021
92627,CA,Orange County,Costa Mesa,834616.4216986079,827501.1207097425,864820.5252994973,996591.9222024492,880882.4974775743,19.41
94015,CA,San Mateo County,Daly City,1036134.618009537,1073500.1333412435,1126953.9707467607,1206976.014237185,1110891.1840836816,16.49
93309,CA,Kern County,Bakersfield,202581.93935859663,215260.09410807895,230412.4979076661,269121.31147516373,229343.96071237634,32.85
90001,CA,Los Angeles County,Florence-Graham,391110.8220747421,425921.59284618887,458321.9297598012,514897.92066288536,447563.06633590435,31.65
90640,CA,Los Angeles County,Montebello,554990.5378981762,579465.0205827247,617882.2531334781,694466.6541104205,611701.1164312,25.13
92020,CA,San Diego County,El Cajon,538266.4571119006,546300.0315896707,579834.6498286956,681370.4068625357,586442.8863482007,26.59
93905,CA,Monterey County,Salinas,424037.7513166358,448639.4801601472,481083.1336643945,553929.9954982252,476922.59015985066,30.63
94501,CA,Alameda County,Alameda,1000950.6031591236,977279.8258883536,1012129.8545872708,1148598.8555669305,1034739.7848004196,14.75
95127,CA,Santa Clara County,San Jose,823436.0550085522,839387.5198058868,870630.8703815378,996114.286960198,882392.1830390437,20.97
90660,CA,Los Angeles County,Pico Rivera,482066.98373433,507302.38658446074,540602.40847443,617296.0049496521,536816.9459357182,28.05
95014,CA,Santa Clara County,Cupertino,2227208.121035278,2202052.2530758292,2201913.3973643356,2516744.9635958676,2286979.683767827,13.0
92115,CA,San Diego County,San Diego,543694.9078943402,556568.0423144362,589581.8065442692,693327.9588674436,595793.1789051223,27.52
95828,CA,Sacramento County,,310056.48668379587,321671.60466007394,344784.68193350564,413364.29394679744,347469.2668060432,33.32
93313,CA,Kern County,Bakersfield,254645.27509023828,266449.8639407855,282678.90823172533,330508.98045670154,283570.75692986266,29.79
92571,CA,Riverside County,Perris,317661.8197409453,332603.6258505979,353577.7913467177,427404.87065517786,357812.0268983597,34.55
90019,CA,Los Angeles County,Los Angeles,1002001.6771554188,1066061.6709509098,1135439.649671014,1248175.156501094,1112919.5385696092,24.57
91702,CA,Los Angeles County,Azusa,474148.9893841985,487982.99043578136,512959.1494752842,589093.5155194488,516046.16120367823,24.24
92324,CA,San Bernardino County,Colton,303399.07433693326,317195.53024247376,335047.65167864464,394187.6762077615,337457.4831164533,29.92
93291,CA,Tulare County,Visalia,271992.1285549164,283704.453510899,301047.2932045972,353994.8208090488,302684.67401986534,30.15
95051,CA,Santa Clara County,Santa Clara,1394005.6618517577,1391224.9117449415,1413990.8220630237,1573869.3635641334,1443272.689805964,12.9
92647,CA,Orange County,Huntington Beach,756348.6388643495,761263.1045899143,802098.414713385,909678.1692965248,807347.0818660435,20.27
94568,CA,Alameda County,Dublin,1036975.1890584556,1012222.7253938988,998709.4184322944,1188135.1392642905,1059010.6180372348,14.58
92530,CA,Riverside County,Lake Elsinore,351754.73177810916,362660.0725852382,382375.42238998465,462640.74095803825,389857.74192784255,31.52
95111,CA,Santa Clara County,San Jose,761566.0181548266,779893.404457653,801611.9643082181,924083.877692284,816788.8161532455,21.34
94122,CA,San Francisco County,San Francisco,1469981.5918077088,1471061.6582648826,1529415.0544784088,1612000.9913117422,1520614.8239656854,9.66
95355,CA,Stanislaus County,Modesto,333573.5420835494,348451.5349455254,368721.01590944343,436220.4647918217,371741.639432585,30.77
92071,CA,San Diego County,Santee,504120.4496354817,518783.954880157,552975.5618184591,649958.6739582985,556459.6600730991,28.93
90004,CA,Los Angeles County,Los Angeles,1158596.358642368,1220143.6349870807,1270541.1004210438,1397864.3755224135,1261786.3673932266,20.65
94087,CA,Santa Clara County,Sunnyvale,2057389.4823776984,2018487.62750366,2033726.2074516143,2293599.041549148,2100800.5897205304,11.48
92027,CA,San Diego County,Escondido,493231.06515187584,510116.4048451549,537533.508860781,631577.6450441568,543114.6559754921,28.05
91770,CA,Los Angeles County,Rosemead,622927.0747836144,644168.4635752618,676543.720206448,760537.8092202945,676044.2669464046,22.09
92570,CA,Riverside County,Perris,347803.320927485,364506.5769019476,388379.3853579837,462718.1551333321,390851.8595801871,33.04
90042,CA,Los Angeles County,Los Angeles,708289.4751368113,748674.2500782361,793051.4094245249,903611.5303382952,788406.6662444669,27.58
92507,CA,Riverside County,Riverside,382911.4769293109,397417.357835019,421156.140746217,494541.5930127524,424006.64213082485,29.15
92584,CA,Riverside County,Menifee,411770.48605228006,419000.6450079229,437167.76940474706,534460.8790951908,450599.9448900352,29.8
93436,CA,Santa Barbara County,Lompoc,359994.0305953662,372750.43328526226,391188.5329949414,460803.3483150991,396184.08629766724,28.0
91732,CA,Los Angeles County,El Monte,531705.4856519887,546989.0774116352,571059.6055199624,646523.7897489116,574069.4895831245,21.59
