ZIP,Count_2021,Avg_1yr,Pct_Increase_1yr,Avg_3yr,Pct_Increase_3yr,Avg_5yr,Pct_Increase_5yr,Avg_10yr,Pct_Increase_10yr
92838,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92850,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92856,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92857,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92859,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92862,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92863,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92864,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92865,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92866,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92867,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92868,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92869,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92870,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92871,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92899,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
93013,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93014,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93067,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93116,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93117,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93118,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93199,2,1.0,100.0,1.3333333333333333,50.000000000000014,1.75,14.285714285714285,1.6666666666666667,19.999999999999996
93201,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93202,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93203,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93204,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93205,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93206,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93210,1,2.0,-50.0,1.3333333333333333,-24.999999999999993,1.25,-20.0,1.2,-16.666666666666664
93212,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93215,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93216,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93218,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93219,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93220,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93221,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93223,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93224,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93226,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93227,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93230,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93232,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93234,1,2.0,-50.0,1.3333333333333333,-24.999999999999993,1.25,-20.0,1.2,-16.666666666666664
93235,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93237,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93238,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93241,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93242,1,2.0,-50.0,1.3333333333333333,-24.999999999999993,1.25,-20.0,1.2,-16.666666666666664
93243,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93245,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93246,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93247,3,1.0,200.0,1.0,200.0,1.25,140.0,1.2,150.0
93252,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
93255,2,1.0,100.0,1.6666666666666667,19.999999999999996,1.4,42.85714285714287,1.6666666666666667,19.999999999999996
