ZIP Code,housing_units,median_gross_rent,median_ownership_cost,median_home_value
92233,1523,791.0,513.0,158400.0
92234,23304,1328.0,689.0,325200.0
92236,15969,896.0,516.0,262300.0
92239,320,2375.0,290.0,112500.0
92240,16245,1126.0,526.0,230300.0
92241,6060,865.0,392.0,92600.0
92242,1501,733.0,287.0,101600.0
92243,15293,867.0,555.0,216700.0
92249,2095,860.0,479.0,220200.0
92250,2445,645.0,452.0,234300.0
92251,7293,1170.0,587.0,271600.0
92252,5207,982.0,405.0,217900.0
92253,24507,1531.0,885.0,453600.0
92254,3892,608.0,534.0,160400.0
92256,1921,1024.0,365.0,183300.0
92257,1053,704.0,270.0,57800.0
92258,338,625.0,409.0,69100.0
92260,21953,1351.0,881.0,363400.0
92262,19736,1232.0,791.0,447800.0
92264,17300,1333.0,857.0,386800.0
92268,434,1325.0,441.0,427900.0
92270,14998,1490.0,1098.0,570400.0
92273,605,813.0,343.0,158800.0
92274,7521,916.0,481.0,113200.0
92275,840,975.0,375.0,145600.0
92276,3827,1274.0,512.0,206000.0
92281,676,813.0,375.0,160600.0
92282,601,1440.0,394.0,225000.0
92284,11775,1075.0,493.0,225100.0
92285,2371,861.0,380.0,157100.0
92301,9387,1247.0,515.0,238600.0
92307,14043,1111.0,565.0,301700.0
92308,14917,1150.0,527.0,282100.0
92311,13341,912.0,337.0,144900.0
92313,5094,1452.0,577.0,378100.0
92314,9429,1250.0,584.0,307100.0
92315,9836,1077.0,573.0,467800.0
92316,8263,1242.0,450.0,339100.0
92317,991,1633.0,729.0,504900.0
92320,3892,1538.0,494.0,279200.0
92321,1245,895.0,1416.0,370900.0
92325,6190,1386.0,584.0,278800.0
92327,435,674.0,233.0,151700.0
92333,1059,1266.0,619.0,372600.0
92335,25827,1379.0,410.0,344200.0
92336,26825,1841.0,655.0,460100.0
92337,10024,1794.0,593.0,403600.0
92339,746,1440.0,577.0,335700.0
92341,1036,1113.0,389.0,255200.0
92342,3054,1549.0,493.0,266100.0
92344,6000,1726.0,683.0,345700.0
92345,27193,1217.0,448.0,277100.0
92346,18486,1306.0,551.0,367300.0
92352,7235,1240.0,819.0,457800.0
92354,9300,1502.0,650.0,411400.0
92356,3220,960.0,294.0,169100.0
92358,460,1391.0,586.0,418800.0
92359,3327,1104.0,483.0,341600.0
92363,3836,646.0,453.0,125400.0
92365,1393,959.0,326.0,117600.0
92368,376,973.0,479.0,259800.0
92371,6088,1370.0,529.0,272700.0
92372,2061,884.0,557.0,294100.0
92374,15270,1648.0,535.0,413600.0
92376,23095,1376.0,490.0,332100.0
92377,5422,1779.0,639.0,418300.0
92382,3845,1284.0,484.0,296600.0
92386,3108,1573.0,348.0,304800.0
92391,1668,736.0,448.0,277100.0
92392,17698,1550.0,546.0,276900.0
92394,9961,1366.0,465.0,261300.0
92395,16225,1244.0,481.0,255100.0
92399,19589,1305.0,530.0,368400.0
92401,834,912.0,810.0,264300.0
92404,19324,1137.0,477.0,289900.0
92405,9678,1229.0,400.0,277800.0
92407,18544,1483.0,542.0,367300.0
92408,4064,1095.0,475.0,304900.0
92410,14293,1064.0,405.0,207500.0
92411,7237,1235.0,433.0,238400.0
92501,7110,1395.0,431.0,358700.0
92503,25195,1597.0,548.0,426000.0
92504,16413,1541.0,512.0,391600.0
92505,14719,1674.0,515.0,408100.0
92506,15003,1579.0,707.0,503700.0
92507,18578,1459.0,556.0,396100.0
92508,10044,2307.0,780.0,536600.0
92509,19763,1513.0,512.0,391900.0
92532,8021,1940.0,694.0,413400.0
92536,1460,1373.0,731.0,374100.0
92539,2346,965.0,516.0,242300.0
92543,14449,1115.0,421.0,169000.0
92544,17497,1243.0,512.0,271700.0
92545,16446,1482.0,533.0,252000.0
92548,2401,1300.0,305.0,192700.0
92549,4236,1172.0,568.0,400300.0
92551,8480,1732.0,588.0,332400.0
92553,20083,1613.0,484.0,321800.0
92555,11950,2022.0,587.0,403300.0
92557,15222,1730.0,546.0,362200.0
92561,1094,1167.0,658.0,369100.0
92562,21554,1939.0,809.0,478500.0
92563,22568,2151.0,710.0,459800.0
92567,2784,1323.0,625.0,379400.0
92570,15651,1289.0,440.0,326200.0
92571,13876,1628.0,642.0,336100.0
92582,5450,1904.0,677.0,339000.0
92583,10732,1214.0,436.0,251700.0
92584,16802,2140.0,611.0,422000.0
