,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
2027,95210,52.7,-3.2666666666666657,-9.799999999999997
2028,95211,52.7,-3.2666666666666657,-9.799999999999997
2029,95212,52.7,-3.2666666666666657,-9.799999999999997
2030,95213,52.7,-3.2666666666666657,-9.799999999999997
2031,95214,52.7,-3.2666666666666657,-9.799999999999997
2032,95215,52.7,-3.2666666666666657,-9.799999999999997
2033,95219,52.7,-3.2666666666666657,-9.799999999999997
2034,95220,52.7,-3.2666666666666657,-9.799999999999997
2035,95221,88.5,-2.300000000000002,-6.900000000000006
2036,95222,88.5,-2.300000000000002,-6.900000000000006
2037,95223,88.5,-2.300000000000002,-6.900000000000006
2038,95224,88.5,-2.300000000000002,-6.900000000000006
2039,95225,88.5,-2.300000000000002,-6.900000000000006
2040,95226,88.5,-2.300000000000002,-6.900000000000006
2041,95227,52.7,-3.2666666666666657,-9.799999999999997
2042,95228,88.5,-2.300000000000002,-6.900000000000006
2043,95229,88.5,-2.300000000000002,-6.900000000000006
2044,95230,52.7,-3.2666666666666657,-9.799999999999997
2045,95231,52.7,-3.2666666666666657,-9.799999999999997
2046,95232,88.5,-2.300000000000002,-6.900000000000006
2047,95233,88.5,-2.300000000000002,-6.900000000000006
2048,95234,52.7,-3.2666666666666657,-9.799999999999997
2049,95236,52.7,-3.2666666666666657,-9.799999999999997
2050,95237,52.7,-3.2666666666666657,-9.799999999999997
2051,95240,52.7,-3.2666666666666657,-9.799999999999997
2052,95241,52.7,-3.2666666666666657,-9.799999999999997
2053,95242,52.7,-3.2666666666666657,-9.799999999999997
2054,95245,88.5,-2.300000000000002,-6.900000000000006
2055,95246,88.5,-2.300000000000002,-6.900000000000006
2056,95247,88.5,-2.300000000000002,-6.900000000000006
2057,95248,88.5,-2.300000000000002,-6.900000000000006
2058,95249,88.5,-2.300000000000002,-6.900000000000006
2059,95250,88.5,-2.300000000000002,-6.900000000000006
2060,95251,88.5,-2.300000000000002,-6.900000000000006
2061,95252,88.5,-2.300000000000002,-6.900000000000006
2062,95253,52.7,-3.2666666666666657,-9.799999999999997
2063,95254,88.5,-2.300000000000002,-6.900000000000006
2064,95255,88.5,-2.300000000000002,-6.900000000000006
2065,95257,88.5,-2.300000000000002,-6.900000000000006
2066,95258,52.7,-3.2666666666666657,-9.799999999999997
2067,95267,52.7,-3.2666666666666657,-9.799999999999997
2068,95269,52.7,-3.2666666666666657,-9.799999999999997
2069,95296,52.7,-3.2666666666666657,-9.799999999999997
2070,95297,52.7,-3.2666666666666657,-9.799999999999997
2071,95301,52.425,-3.733333333333332,-11.199999999999996
2072,95303,52.425,-3.733333333333332,-11.199999999999996
2073,95304,52.7,-3.2666666666666657,-9.799999999999997
2074,95305,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2075,95306,87.60000000000001,-1.0,-3.0
2076,95307,71.89999999999999,-3.6666666666666665,-11.0
2077,95309,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2078,95310,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2079,95311,87.60000000000001,-1.0,-3.0
2080,95312,52.425,-3.733333333333332,-11.199999999999996
2081,95313,71.89999999999999,-3.6666666666666665,-11.0
